,scale_area,scale_line,min_x,max_x,min_y,max_y
Acer pseudoplatanus-1-1,63760.7,252.5088117274326,1323.0,3286.0,1024.0,4864.0
Acer pseudoplatanus-1-2,63478.8,251.94999503869812,1466.0,3317.0,1024.0,4864.0
Acer pseudoplatanus-1-3,68000.1,260.7682879492827,1503.0,3325.0,1024.0,4864.0
Aesculus hippocastanum-1-1,81933.1,286.239584963366,1305.0,3282.0,1024.0,4864.0
Aesculus hippocastanum-1-2,75729.8,275.1904794864822,1432.0,3310.0,1024.0,4864.0
Aesculus hippocastanum-1-3,76551.5,276.6794173768624,1326.0,3286.0,1024.0,4864.0
Alnus glutinosa-1-1,80168.6,283.14060111541755,1192.0,3257.0,1024.0,4864.0
Alnus glutinosa-1-10,80527.9,283.77438221234837,1837.0,3399.0,1024.0,4864.0
Alnus glutinosa-1-11,80610.1,283.9191786406829,1674.0,3363.0,1024.0,4864.0
Alnus glutinosa-1-12,80112.0,283.0406331253518,1664.0,3361.0,1024.0,4864.0
Alnus glutinosa-1-2,80207.5,283.20928657090326,1406.0,3304.0,1024.0,4864.0
Alnus glutinosa-1-3,82450.1,287.1412544376025,1346.0,3291.0,1024.0,4864.0
Alnus glutinosa-1-4,74078.1,272.1729229736125,1328.0,3287.0,1024.0,4864.0
Alnus glutinosa-1-5,78682.1,280.50329766332516,1505.0,3326.0,1024.0,4864.0
Alnus glutinosa-1-6,80194.9,283.18704066393997,1598.0,3346.0,1024.0,4864.0
Alnus glutinosa-1-7,75521.6,274.81193569421254,1599.0,3346.0,1024.0,4864.0
Alnus glutinosa-1-8,78826.1,280.75986180364174,1653.0,3358.0,1024.0,4864.0
Alnus glutinosa-1-9,76473.3,276.5380624796522,1661.0,3360.0,1024.0,4864.0
Carpinus betulus-1-1,63137.2,251.27116826249684,1805.0,3392.0,1024.0,4864.0
Carpinus betulus-1-2,73378.7,270.88503096332215,1543.0,3334.0,1024.0,4864.0
Fagus sylvatica-1-1,67767.2,260.3213398859187,1421.0,3307.0,1024.0,4864.0
Fagus sylvatica-1-2,56697.7,238.11278840079126,1175.0,3253.0,1024.0,4864.0
Fagus sylvatica-1-3,62891.3,250.7813788940479,1185.0,3255.0,1024.0,4864.0
Fagus sylvatica-1-4,59625.2,244.18271847123006,1521.0,3329.0,1024.0,4864.0
Fagus sylvatica-1-5,59372.6,243.66493387436773,1489.0,3322.0,1024.0,4864.0
Fagus sylvatica-1-6,59845.1,244.63258164030398,1221.0,3263.0,1024.0,4864.0
Populus canadensis-1-1,69314.6,263.2766605683079,1479.0,3320.0,1024.0,4864.0
Populus canadensis-1-10,73655.1,271.39473097317125,1859.0,3404.0,1024.0,4864.0
Populus canadensis-1-11,71873.3,268.09196183399456,1674.0,3363.0,1024.0,4864.0
Populus canadensis-1-12,67212.2,259.2531581292695,1794.0,3389.0,1024.0,4864.0
Populus canadensis-1-2,74524.3,272.9913918056758,1648.0,3357.0,1024.0,4864.0
Populus canadensis-1-3,68860.8,262.41341429126675,1843.0,3400.0,1024.0,4864.0
Populus canadensis-1-4,71208.8,266.84977047020294,1663.0,3361.0,1024.0,4864.0
Populus canadensis-1-5,76000.1,275.6811564108073,1729.0,3375.0,1024.0,4864.0
Populus canadensis-1-6,74284.2,272.5512795787244,1643.0,3356.0,1024.0,4864.0
Populus canadensis-1-7,72068.7,268.45614166936093,1780.0,3386.0,1024.0,4864.0
Populus canadensis-1-8,76738.8,277.0176889658854,1703.0,3369.0,1024.0,4864.0
Populus canadensis-1-9,75991.9,275.6662837562838,1627.0,3353.0,1024.0,4864.0
Quercus petraea-1-1,69100.2,262.8691689795515,1677.0,3364.0,1024.0,4864.0
Quercus petraea-1-2,69629.4,263.87383348865797,1696.0,3368.0,1024.0,4864.0
Quercus petraea-1-3,65234.7,255.41084550190894,1779.0,3386.0,1024.0,4864.0
Quercus petraea-1-4,59855.2,244.65322397221746,1769.0,3384.0,1024.0,4864.0
Quercus petraea-1-5,71801.7,267.9583922925348,1482.0,3321.0,1024.0,4864.0
Tilia platyphyllos-1-1,61470.9,247.93325714796714,1385.0,3299.0,1024.0,4864.0
Tilia platyphyllos-1-2,65198.9,255.34075272075157,1524.0,3330.0,1024.0,4864.0
Tilia platyphyllos-1-3,74157.3,272.318379842419,1432.0,3310.0,1024.0,4864.0
